card_no,adv_tag
OGN-032,"[""主动·横置技能"", ""伤害·法术伤害加成""]"
OGN-033,"[""伤害·单体"", ""牌库·抽牌""]"
OGN-034,"[""触发·征服"", ""伤害·过量伤害联动""]"
OGN-035,"[""状态·以活跃进场"", ""触发·征服"", ""互动·返回手牌"", ""费用·可选额外""]"
OGN-036,"[""移动·单位"", ""牌库·回收"", ""战力·增强单体"", ""战力·增强本回合"", ""主动·支付费用技能"", ""主动·可重复""]"
OGN-037,"[""触发·摧毁"", ""牌库·打出"", ""费用·可选额外""]"
OGN-038,"[""触发·进场"", ""牌库·抽牌""]"
OGN-039,"[""触发·征服"", ""牌库·抽牌""]"
OGN-040,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-041,"[""触发·进攻"", ""伤害·群体""]"
OGN-043,"[""移动·敌方""]"
OGN-044,"[""费用·可选额外"", ""触发·进场"", ""牌库·抽牌""]"
OGN-045,"[""反制·无效化法术""]"
OGN-046,"[""战力·增强单体"", ""战力·增强本回合""]"
OGN-047,"[""费用·条件减费"", ""牌库·抽牌"", ""符文·召出""]"
OGN-048,"[""费用·可选额外"", ""状态·休眠化"", ""牌库·抽牌""]"
OGN-050,"[""状态·眩晕""]"
OGN-051,"[""触发·进场"", ""状态·眩晕""]"
OGN-052,[]
OGN-053,"[""增益·给予"", ""增益·数量联动"", ""战力·增强本回合""]"
OGN-054,[]
OGN-055,"[""战力·条件加成""]"
OGN-056,"[""触发·征服"", ""摧毁·装备"", ""增益·给予""]"
OGN-057,"[""战力·增强单体"", ""战力·增强本回合""]"
OGN-058,"[""战力·增强单体"", ""战力·增强本回合"", ""牌库·抽牌""]"
OGN-059,"[""状态·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-060,"[""触发·进攻"", ""触发·防守"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-061,"[""触发·进场"", ""特性·属性联动"", ""增益·给予"", ""牌库·抽牌""]"
OGN-062,"[""牌库·查看"", ""牌库·放逐"", ""费用·减费"", ""牌库·放回""]"
OGN-063,"[""触发·进场"", ""增益·给予"", ""持续·光环常驻""]"
OGN-064,"[""反制·无效化法术""]"
OGN-065,"[""增益·数量联动"", ""战力·条件加成""]"
OGN-066,"[""触发·据守""]"
OGN-067,"[""触发·进场"", ""移动·敌方"", ""触发·据守"", ""互动·返回手牌""]"
OGN-068,"[""主动·横置技能"", ""伤害·单体"", ""伤害·等同战力""]"
OGN-069,"[""战力·调整"", ""战力·增强本回合""]"
OGN-070,"[""持续·光环常驻"", ""限制·行动禁止""]"
OGN-071,"[""牌库·抽牌"", ""符文·召出""]"
OGN-072,"[""触发·摧毁"", ""状态·休眠化"", ""牌库·抽牌""]"
OGN-073,"[""触发·回合结束"", ""符文·激活""]"
OGN-074,"[""持续·光环常驻""]"
OGN-075,"[""触发·摧毁"", ""符文·召出"", ""牌库·抽牌""]"
OGN-076,"[""触发·进攻"", ""伤害·单体"", ""伤害·等同战力""]"
OGN-077,"[""触发·摧毁"", ""保护·免死替身"", ""状态·休眠化"", ""互动·召回基地""]"
OGN-078,"[""主动·横置技能"", ""增益·给予"", ""持续·光环常驻""]"
OGN-079,"[""状态·以活跃进场"", ""战力·削弱"", ""持续·光环常驻""]"
OGN-080,"[""反制·无效化法术"", ""互动·夺控""]"
OGN-081,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-082,"[""触发·进场"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-083,"[""牌库·抽牌""]"
OGN-084,"[""持续·光环常驻"", ""费用·减费""]"
OGN-085,"[""伤害·单体""]"
OGN-086,"[""牌库·查看"", ""牌库·放回""]"
OGN-087,"[""触发·进场"", ""牌库·抽牌""]"
OGN-090,"[""主动·横置技能"", ""战力·削弱""]"
OGN-091,"[""触发·打出"", ""状态·激活""]"
OGN-092,"[""触发·进场"", ""伤害·单体""]"
OGN-093,"[""战力·削弱""]"
OGN-094,"[""衍生·单位"", ""状态·以活跃进场""]"
OGN-095,"[""战力·削弱"", ""牌库·抽牌""]"
OGN-096,"[""触发·摧毁"", ""牌库·抽牌""]"
OGN-097,"[""触发·进场"", ""战力·削弱""]"
OGN-098,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-099,"[""牌库·回收"", ""主动·横置技能"", ""主动·支付费用技能"", ""牌库·抽牌""]"
OGN-100,"[""持续·光环常驻"", ""牌库·查看"", ""牌库·放回""]"
OGN-101,"[""触发·回合开始"", ""牌库·抽牌""]"
OGN-102,"[""牌库·放逐"", ""互动·召回基地"", ""费用·免费打出""]"
OGN-103,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-104,"[""互动·返回手牌"", ""符文·召出""]"
OGN-105,"[""伤害·群体""]"
OGN-106,"[""触发·进场"", ""衍生·单位"", ""状态·以活跃进场""]"
OGN-107,"[""触发·进攻"", ""费用·可选额外"", ""费用·免费打出""]"
OGN-108,"[""战力·调整"", ""战力·增强本回合""]"
OGN-109,"[""战力·永久成长"", ""触发·回合开始"", ""牌库·回收""]"
OGN-110,"[""触发·摧毁"", ""牌库·回收"", ""符文·激活""]"
OGN-111,"[""持续·光环常驻"", ""复制·效果技能""]"
OGN-112,"[""触发·征服"", ""牌库·打出"", ""费用·免费打出"", ""牌库·回收""]"
OGN-113,"[""费用·强制额外"", ""主动·横置技能"", ""资源·获得费用""]"
OGN-114,"[""牌库·抽牌""]"
OGN-115,"[""牌库·查看"", ""牌库·放逐"", ""牌库·放回"", ""费用·免费打出""]"
OGN-116,"[""触发·进场"", ""战力·削弱""]"
OGN-117,"[""触发·打出"", ""衍生·单位""]"
OGN-118,"[""触发·摧毁"", ""牌库·抽牌"", ""频率·每回合限一次""]"
OGN-119,"[""触发·进攻"", ""触发·防守"", ""战力·削弱""]"
OGN-120,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-121,"[""触发·防守"", ""牌库·查看"", ""伤害·单体"", ""牌库·放回""]"
OGN-122,"[""牌库·放逐""]"
OGN-123,"[""状态·休眠化"", ""伤害·全场无差别""]"
OGN-124,"[""主动·横置技能"", ""增益·给予""]"
OGN-125,"[""增益·数量联动"", ""移动·单位""]"
OGN-127,"[""伤害·群体""]"
OGN-128,"[""伤害·等同战力""]"
OGN-129,"[""状态·以活跃进场"", ""牌库·抽牌""]"
OGN-130,"[""触发·进攻"", ""伤害·单体""]"
OGN-131,"[""触发·进攻"", ""战力·条件加成"", ""战力·增强本回合""]"
OGN-132,"[""触发·进场"", ""状态·激活""]"
OGN-133,"[""伤害·全场无差别""]"
OGN-134,"[""符文·召出"", ""牌库·抽牌""]"
OGN-135,[]
OGN-136,"[""触发·进场"", ""增益·给予""]"
OGN-137,"[""触发·进场"", ""符文·召出""]"
OGN-138,"[""符文·召出"", ""牌库·抽牌""]"
OGN-139,"[""触发·打出"", ""增益·给予""]"
OGN-140,"[""持续·光环常驻"", ""费用·减费"", ""特性·属性联动""]"
OGN-141,"[""触发·进场"", ""增益·给予""]"
OGN-143,"[""状态·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-144,"[""费用·条件减费"", ""牌库·抽牌""]"
OGN-145,"[""反制·无效化技能"", ""保护·抵挡伤害""]"
OGN-146,"[""费用·可选额外"", ""增益·消耗"", ""费用·免费打出"", ""状态·激活""]"
OGN-147,"[""触发·进场"", ""增益·消耗"", ""增益·给予"", ""状态·激活""]"
OGN-148,"[""触发·进攻"", ""伤害·群体""]"
OGN-149,"[""触发·进场"", ""伤害·等同战力""]"
OGN-150,"[""触发·进场"", ""增益·消耗"", ""费用·可选额外"", ""费用·减费"", ""增益·数量联动""]"
OGN-151,"[""持续·光环常驻"", ""战力·增强群体"", ""增益·数量联动""]"
OGN-152,"[""增益·给予"", ""费用·可选额外"", ""状态·休眠化"", ""状态·激活""]"
OGN-153,"[""增益·消耗"", ""状态·激活"", ""增益·给予""]"
OGN-154,"[""战力·增强单体"", ""战力·增强本回合""]"
OGN-155,"[""触发·征服"", ""牌库·抽牌"", ""符文·召出""]"
OGN-156,"[""干扰·展示手牌"", ""干扰·弃对手手牌""]"
OGN-157,"[""增益·消耗"", ""伤害·单体"", ""状态·眩晕"", ""状态·激活"", ""移动·单位""]"
OGN-158,"[""触发·移动"", ""牌库·抽牌""]"
OGN-159,"[""状态·以活跃进场"", ""触发·进攻"", ""摧毁·单位""]"
OGN-160,"[""触发·回合结束"", ""牌库·查看"", ""牌库·放逐"", ""费用·免费打出"", ""牌库·放回""]"
OGN-161,[]
OGN-162,"[""触发·移动"", ""状态·激活"", ""频率·每回合限一次""]"
OGN-163,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-164,"[""触发·进场"", ""触发·征服"", ""增益·给予"", ""增益·消耗"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-165,"[""触发·进场"", ""牌库·回收""]"
OGN-167,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-168,"[""移动·单位"", ""互动·召回基地""]"
OGN-169,"[""互动·返回手牌""]"
OGN-170,"[""牌库·回收""]"
OGN-171,"[""牌库·查看"", ""牌库·放回""]"
OGN-172,"[""互动·返回手牌""]"
OGN-173,"[""移动·单位"", ""状态·激活""]"
OGN-174,"[""牌库·查看"", ""牌库·放回"", ""位置·开放战场""]"
OGN-176,"[""位置·开放战场""]"
OGN-177,"[""触发·移动"", ""移动·单位""]"
OGN-178,"[""触发·摧毁"", ""牌库·弃牌"", ""牌库·抽牌""]"
OGN-179,"[""摧毁·装备""]"
OGN-180,[]
OGN-181,"[""主动·横置技能"", ""互动·返回手牌""]"
OGN-182,"[""触发·进场"", ""触发·弃置"", ""触发·摧毁"", ""牌库·抽牌""]"
OGN-183,"[""牌库·查看"", ""牌库·抽牌"", ""牌库·放回""]"
OGN-184,"[""主动·横置技能"", ""主动·支付费用技能"", ""移动·单位"", ""互动·召回基地""]"
OGN-185,"[""触发·移动"", ""牌库·弃牌"", ""牌库·抽牌""]"
OGN-186,"[""触发·离场"", ""牌库·抽牌"", ""符文·召出"", ""主动·横置技能"", ""主动·支付费用技能"", ""摧毁·装备""]"
OGN-187,"[""互动·返回手牌""]"
OGN-188,"[""触发·进场"", ""互动·返回手牌""]"
OGN-189,"[""触发·移动"", ""保护·抵挡伤害""]"
OGN-190,"[""触发·摧毁"", ""伤害·群体""]"
OGN-191,"[""触发·进场"", ""移动·单位"", ""互动·召回基地""]"
OGN-192,"[""触发·进场"", ""干扰·展示手牌"", ""干扰·弃对手手牌""]"
OGN-193,"[""位置·开放战场"", ""持续·光环常驻""]"
OGN-194,"[""牌库·查看"", ""牌库·放逐"", ""费用·可选额外"", ""牌库·打出""]"
OGN-195,"[""费用·条件减费""]"
OGN-196,"[""触发·进场"", ""牌库·打出"", ""费用·免费打出""]"
OGN-197,"[""触发·进场"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-198,"[""牌库·打出"", ""费用·免费打出""]"
OGN-199,"[""触发·进场"", ""移动·单位"", ""移动·换位""]"
OGN-200,"[""触发·进攻"", ""牌库·查看"", ""牌库·放回"", ""伤害·单体"", ""牌库·抽牌"", ""状态·眩晕""]"
OGN-201,"[""牌库·弃牌"", ""牌库·抽牌""]"
OGN-202,"[""触发·弃置"", ""状态·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-203,"[""互动·夺控"", ""互动·召回基地""]"
OGN-204,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-205,"[""触发·移动""]"
OGN-206,"[""战力·增强单体"", ""战力·增强本回合""]"
OGN-207,"[""费用·可选额外"", ""增益·消耗"", ""费用·免费打出"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-208,"[""费用·强制额外"", ""摧毁·单位""]"
OGN-209,"[""摧毁·单位""]"
OGN-210,[]
OGN-211,"[""触发·进场"", ""衍生·单位""]"
OGN-212,"[""触发·进场"", ""衍生·单位"", ""摧毁·装备"", ""牌库·回收""]"
OGN-213,"[""摧毁·单位"", ""牌库·抽牌""]"
OGN-215,[]
OGN-216,"[""触发·摧毁"", ""符文·召出""]"
OGN-217,"[""触发·进场"", ""触发·打出"", ""增益·给予""]"
OGN-218,"[""触发·进场"", ""触发·打出"", ""衍生·单位""]"
OGN-220,"[""状态·眩晕""]"
OGN-221,"[""触发·摧毁"", ""摧毁·单位""]"
OGN-222,"[""触发·移动"", ""衍生·单位""]"
OGN-223,"[""触发·进场"", ""增益·给予""]"
OGN-224,"[""摧毁·装备"", ""牌库·抽牌""]"
OGN-225,"[""触发·进场"", ""状态·眩晕"", ""摧毁·单位""]"
OGN-226,"[""触发·进场"", ""牌库·打出"", ""费用·免费打出""]"
OGN-227,"[""触发·战斗"", ""互动·召回基地""]"
OGN-228,"[""触发·摧毁"", ""增益·给予"", ""增益·数量联动""]"
OGN-229,"[""摧毁·单位""]"
OGN-230,"[""触发·进场"", ""增益·消耗"", ""符文·召出"", ""增益·数量联动""]"
OGN-231,"[""触发·进场"", ""费用·可选额外"", ""摧毁·单位"", ""费用·减费""]"
OGN-232,"[""战力·条件加成"", ""移动·单位""]"
OGN-233,"[""战力·增强群体"", ""战力·增强本回合""]"
OGN-234,"[""触发·进场"", ""摧毁·单位""]"
OGN-235,"[""牌库·查看"", ""牌库·放回"", ""增益·给予""]"
OGN-236,"[""触发·摧毁"", ""持续·光环常驻""]"
OGN-237,"[""摧毁·单位""]"
OGN-238,"[""触发·进攻"", ""状态·眩晕""]"
OGN-239,"[""触发·摧毁"", ""衍生·单位""]"
OGN-240,"[""增益·数量联动"", ""战力·条件加成""]"
OGN-241,[]
OGN-242,"[""主动·横置技能"", ""主动·支付费用技能"", ""摧毁·单位"", ""牌库·查看"", ""牌库·放逐"", ""费用·免费打出"", ""牌库·放回""]"
OGN-243,"[""触发·进场"", ""触发·打出"", ""状态·激活"", ""持续·光环常驻"", ""战力·增强群体""]"
OGN-244,"[""互动·返回手牌"", ""牌库·弃牌""]"
OGN-245,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-246,"[""持续·光环常驻"", ""触发·摧毁"", ""衍生·单位""]"
OGN-247,"[""主动·横置技能"", ""资源·获得费用""]"
OGN-248,"[""伤害·单体""]"
OGN-249,"[""触发·打出"", ""状态·休眠化"", ""符文·召出""]"
OGN-250,"[""伤害·群体"", ""伤害·等同战力"", ""移动·单位""]"
OGN-251,"[""触发·回合开始"", ""牌库·抽牌""]"
OGN-252,"[""伤害·单体"", ""触发·征服"", ""牌库·弃牌"", ""牌库·回收""]"
OGN-253,"[""主动·横置技能"", ""资源·获得费用"", ""触发·打出""]"
OGN-254,"[""摧毁·单位"", ""触发·打出""]"
OGN-255,"[""触发·进攻"", ""战力·削弱""]"
OGN-256,"[""摧毁·单位""]"
OGN-257,"[""主动·横置技能"", ""主动·支付费用技能"", ""增益·给予""]"
OGN-258,"[""移动·敌方"", ""伤害·等同战力""]"
OGN-259,"[""主动·横置技能"", ""主动·支付费用技能"", ""移动·单位"", ""互动·召回基地""]"
OGN-260,"[""状态·激活"", ""伤害·单体"", ""伤害·等同战力""]"
OGN-261,"[""状态·眩晕"", ""增益·给予""]"
OGN-262,"[""状态·眩晕"", ""移动·单位""]"
OGN-263,"[""费用·减费"", ""主动·横置技能"", ""主动·支付费用技能"", ""互动·返回手牌""]"
OGN-264,"[""牌库·回收"", ""费用·免费打出""]"
OGN-265,"[""主动·横置技能"", ""主动·支付费用技能"", ""衍生·单位""]"
OGN-266,"[""战力·增强群体"", ""战力·增强本回合"", ""战力·削弱""]"
OGN-267,"[""主动·横置技能"", ""移动·单位""]"
OGN-268,"[""费用·可选额外"", ""伤害·群体"", ""伤害·等同战力""]"
OGN-269,"[""触发·摧毁"", ""费用·可选额外"", ""保护·免死替身"", ""增益·消耗"", ""状态·休眠化"", ""互动·召回基地"", ""触发·征服"", ""状态·激活""]"
OGN-270,"[""增益·给予"", ""移动·单位""]"
OGN-274,[]
OGN-275,"[""触发·据守"", ""衍生·单位""]"
OGN-276,"[""持续·光环常驻""]"
OGN-277,"[""触发·移动"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-278,"[""持续·光环常驻""]"
OGN-279,"[""触发·防守"", ""战力·增强单体"", ""战力·增强本回合""]"
OGN-280,"[""触发·据守"", ""牌库·抽牌""]"
OGN-281,"[""触发·据守"", ""牌库·回收""]"
OGN-282,"[""触发·征服"", ""增益·消耗"", ""牌库·抽牌""]"
OGN-283,"[""触发·据守"", ""增益·给予""]"
OGN-284,"[""触发·回合开始"", ""符文·召出""]"
OGN-285,"[""触发·防守"", ""移动·单位"", ""互动·召回基地""]"
OGN-286,"[""触发·据守"", ""触发·征服""]"
OGN-287,"[""触发·征服""]"
OGN-288,"[""触发·据守"", ""符文·召出""]"
OGN-289,"[""触发·征服"", ""符文·激活""]"
OGN-290,"[""触发·回合开始""]"
OGN-291,"[""触发·征服"", ""牌库·查看"", ""牌库·放回""]"
OGN-292,"[""触发·被选为目标"", ""牌库·抽牌"", ""频率·每回合限一次""]"
OGN-293,"[""触发·据守""]"
OGN-294,"[""持续·光环常驻"", ""战力·增强群体""]"
OGN-295,"[""持续·光环常驻"", ""限制·行动禁止""]"
OGN-296,"[""持续·光环常驻"", ""伤害·法术伤害加成""]"
OGN-297,"[""持续·光环常驻"", ""移动·单位""]"
OGN-298,"[""触发·征服"", ""牌库·弃牌"", ""牌库·抽牌""]"
OGS-001,"[""持续·光环常驻"", ""伤害·法术伤害加成""]"
OGS-002,"[""伤害·群体""]"
OGS-003,"[""伤害·单体""]"
OGS-004,"[""符文·数量条件"", ""战力·条件加成""]"
OGS-005,[]
OGS-006,"[""触发·打出"", ""战力·增强单体"", ""战力·增强本回合""]"
OGS-007,[]
OGS-008,"[""战力·增强单体"", ""战力·增强本回合"", ""伤害·等同战力""]"
OGS-009,"[""移动·单位"", ""状态·以活跃进场""]"
OGS-010,"[""触发·进场"", ""牌库·回收""]"
OGS-011,"[""移动·单位"", ""互动·召回基地""]"
OGS-012,"[""摧毁·单位""]"
OGS-013,"[""持续·光环常驻"", ""战力·增强群体""]"
OGS-014,"[""主动·横置技能"", ""资源·获得费用""]"
OGS-015,"[""衍生·单位""]"
OGS-016,"[""状态·以活跃进场""]"
OGS-017,"[""触发·回合结束"", ""符文·激活""]"
OGS-018,"[""触发·进场"", ""伤害·全场无差别""]"
OGS-019,"[""战力·条件加成""]"
OGS-020,"[""保护·免死替身"", ""状态·休眠化"", ""互动·召回基地"", ""触发·摧毁""]"
OGS-021,"[""触发·打出"", ""牌库·抽牌""]"
OGS-022,"[""伤害·单体""]"
OGS-023,"[""触发·征服"", ""牌库·抽牌""]"
OGS-024,"[""战力·增强群体"", ""战力·增强本回合""]"
SFD-001,"[""战力·增强单体"", ""战力·增强本回合""]"
SFD-002,"[""状态·以活跃进场"", ""费用·可选额外"", ""费用·减费""]"
SFD-003,"[""战力·增强单体"", ""战力·增强本回合"", ""费用·可选额外""]"
SFD-004,"[""状态·以活跃进场"", ""衍生·装备""]"
SFD-005,"[""摧毁·装备"", ""牌库·抽牌""]"
SFD-006,"[""状态·以活跃进场""]"
SFD-007,"[""触发·进场"", ""移动·单位""]"
SFD-008,"[""费用·减费""]"
SFD-009,[]
SFD-010,"[""费用·条件减费""]"
SFD-011,"[""牌库·抽牌""]"
SFD-012,"[""费用·条件减费""]"
SFD-013,"[""费用·可选额外"", ""触发·进场"", ""伤害·单体""]"
SFD-014,"[""持续·光环常驻"", ""限制·行动禁止""]"
SFD-015,"[""限制·行动禁止""]"
SFD-016,"[""触发·进攻"", ""触发·防守"", ""伤害·单体""]"
SFD-017,"[""伤害·单体""]"
SFD-018,"[""牌库·查看"", ""牌库·放回""]"
SFD-019,"[""主动·横置技能"", ""主动·支付费用技能"", ""牌库·回收"", ""衍生·单位""]"
SFD-020,"[""触发·战斗"", ""衍生·装备"", ""触发·进攻"", ""触发·防守"", ""费用·可选额外"", ""战力·增强单体"", ""战力·增强本回合""]"
SFD-021,"[""触发·摧毁"", ""衍生·单位""]"
SFD-022,[]
SFD-023,"[""伤害·单体"", ""费用·可选额外""]"
SFD-024,"[""触发·进攻"", ""费用·免费打出""]"
SFD-025,"[""位置·开放战场""]"
SFD-026,"[""持续·光环常驻"", ""战力·条件加成"", ""触发·征服"", ""互动·返回手牌"", ""牌库·打出"", ""费用·条件减费"", ""特性·属性联动""]"
SFD-027,"[""状态·以活跃进场"", ""触发·据守"", ""牌库·抽牌""]"
SFD-028,"[""触发·进攻"", ""伤害·单体"", ""伤害·等同战力""]"
SFD-029,"[""持续·光环常驻""]"
SFD-030,"[""持续·光环常驻"", ""触发·据守"", ""触发·征服""]"
SFD-031,"[""衍生·单位"", ""费用·可选额外""]"
SFD-032,"[""触发·进场"", ""摧毁·装备""]"
SFD-033,[]
SFD-034,"[""战力·增强单体"", ""战力·增强本回合"", ""费用·可选额外""]"
SFD-035,"[""触发·据守"", ""牌库·回收""]"
SFD-036,"[""触发·摧毁"", ""牌库·抽牌""]"
SFD-037,[]
SFD-038,"[""触发·移动"", ""战力·增强单体"", ""战力·增强本回合""]"
SFD-039,"[""触发·进场"", ""状态·激活"", ""状态·休眠化""]"
SFD-040,"[""状态·眩晕"", ""费用·可选额外""]"
SFD-041,"[""触发·移动"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·放回""]"
SFD-042,"[""战力·条件加成""]"
SFD-043,"[""移动·单位"", ""互动·召回基地""]"
SFD-044,"[""费用·强制额外"", ""互动·返回手牌""]"
SFD-045,"[""反制·无效化技能"", ""反制·无效化法术""]"
SFD-046,"[""触发·进场"", ""牌库·抽牌"", ""主动·横置技能"", ""主动·支付费用技能"", ""摧毁·装备""]"
SFD-047,"[""增益·给予"", ""状态·激活""]"
SFD-048,"[""触发·移动"", ""牌库·抽牌""]"
SFD-049,"[""符文·激活"", ""符文·召出"", ""增益·给予""]"
SFD-050,"[""主动·支付费用技能"", ""移动·单位"", ""移动·换位"", ""频率·每回合限一次""]"
SFD-051,"[""保护·免死替身"", ""触发·摧毁"", ""状态·休眠化"", ""互动·召回基地""]"
SFD-052,"[""主动·横置技能"", ""战力·增强单体"", ""战力·增强本回合""]"
SFD-053,"[""触发·进场"", ""保护·抵挡伤害"", ""移动·敌方"", ""互动·召回基地""]"
SFD-054,"[""持续·光环常驻""]"
SFD-055,"[""费用·条件减费"", ""触发·据守""]"
SFD-056,[]
SFD-057,"[""触发·被选为目标"", ""状态·激活"", ""战力·增强单体"", ""战力·增强本回合""]"
SFD-058,"[""触发·进场"", ""触发·据守"", ""牌库·查看"", ""牌库·抽牌"", ""牌库·放回""]"
SFD-059,"[""复制·效果技能""]"
SFD-060,"[""持续·光环常驻"", ""限制·行动禁止""]"
SFD-061,"[""触发·进场"", ""牌库·回收""]"
SFD-062,"[""触发·进场"", ""状态·激活"", ""特性·属性联动""]"
SFD-063,"[""触发·打出"", ""状态·休眠化"", ""衍生·装备""]"
SFD-064,[]
SFD-065,"[""持续·光环常驻"", ""牌库·查看"", ""牌库·放回"", ""特性·属性联动""]"
SFD-066,"[""战力·削弱"", ""费用·可选额外""]"
SFD-067,"[""费用·可选额外"", ""触发·进场"", ""战力·削弱""]"
SFD-068,"[""持续·光环常驻"", ""战力·永久成长""]"
SFD-069,"[""触发·征服"", ""衍生·装备""]"
SFD-070,"[""伤害·单体"", ""衍生·装备""]"
SFD-071,"[""持续·光环常驻"", ""移动·单位"", ""特性·属性联动"", ""状态·以活跃进场""]"
SFD-072,"[""触发·进场"", ""状态·激活""]"
SFD-073,"[""特性·属性联动""]"
SFD-074,"[""触发·进场"", ""摧毁·装备"", ""衍生·装备""]"
SFD-075,"[""战力·增强单体"", ""战力·增强本回合""]"
SFD-076,"[""费用·条件减费"", ""特性·属性联动"", ""衍生·单位"", ""牌库·抽牌""]"
SFD-077,"[""伤害·单体"", ""伤害·对基地"", ""摧毁·装备"", ""费用·可选额外""]"
SFD-078,"[""主动·横置技能"", ""主动·支付费用技能"", ""费用·可选额外""]"
SFD-079,"[""费用·可选额外"", ""状态·休眠化"", ""触发·进场"", ""移动·单位"", ""位置·开放战场""]"
SFD-080,"[""伤害·群体"", ""费用·可选额外""]"
SFD-081,"[""触发·进场"", ""衍生·装备""]"
SFD-082,"[""触发·进攻"", ""触发·防守"", ""伤害·单体"", ""伤害·等同战力"", ""限制·行动禁止"", ""主动·支付费用技能"", ""移动·单位"", ""互动·召回基地""]"
SFD-083,"[""主动·横置技能"", ""资源·获得费用"", ""费用·可选额外""]"
SFD-084,"[""触发·进场"", ""摧毁·装备"", ""费用·免费打出""]"
SFD-085,"[""费用·减费"", ""战力·永久成长"", ""持续·光环常驻""]"
SFD-086,"[""触发·据守"", ""衍生·装备""]"
SFD-087,"[""牌库·抽牌""]"
